analog_libid,name_analog,gnps_libid,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012722442,related spectra of 'memantine (delta mass:14.96)',CCMSLIB00006115995|CCMSLIB00006115997|CCMSLIB00006116000|CCMSLIB00006116002,82,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722443,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00000563621|CCMSLIB00000566331|CCMSLIB00000566347|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005732527|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,83,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722444,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,84,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722445,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00000566331|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,85,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722446,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00000566331|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,86,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722447,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,87,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722448,related spectra of 'memantine (delta mass:14.96)',CCMSLIB00006116000|CCMSLIB00006116002,88,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722449,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00000563621|CCMSLIB00000566331|CCMSLIB00000566347|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005731570|CCMSLIB00005732527|CCMSLIB00005733302|CCMSLIB00005735868|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131282|CCMSLIB00010131284|CCMSLIB00010131285,89,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722450,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00010131279,90,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722451,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00010131279,91,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722452,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,92,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722453,related spectra of 'rimantadine (delta mass:14.96)',CCMSLIB00010131279,93,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722454,related spectra of 'memantine (delta mass:15.98)',CCMSLIB00000568321|CCMSLIB00005735445|CCMSLIB00010145981,94,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722455,related spectra of 'rimantadine (delta mass:16.03)',CCMSLIB00000563621|CCMSLIB00000566347|CCMSLIB00005732527,95,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N
CCMSLIB00012722456,related spectra of 'baclofen (delta mass:1.0)',CCMSLIB00003136604,96,Drug_analog,baclofen,gamma-aminobutyric acid (GABA)-ergic agonist,neurology/psychiatry,multiple sclerosis|spasms,GABA receptor agonist,KPYSYYIEGFHWSV-UHFFFAOYSA-N
CCMSLIB00012722457,related spectra of 'baclofen (delta mass:1.0)',CCMSLIB00003136604,97,Drug_analog,baclofen,gamma-aminobutyric acid (GABA)-ergic agonist,neurology/psychiatry,multiple sclerosis|spasms,GABA receptor agonist,KPYSYYIEGFHWSV-UHFFFAOYSA-N
CCMSLIB00012722458,related spectra of 'metyrosine (delta mass:0.98)',CCMSLIB00010150043|CCMSLIB00010150044,98,Drug_analog,metyrosine,catecholamine synthesis inhibitor,cardiology,hypertension,tyrosine hydroxylase inhibitor,NHTGHBARYWONDQ-JTQLQIEISA-N
CCMSLIB00012722459,related spectra of 'baclofen (delta mass:2.02)',CCMSLIB00003136604,99,Drug_analog,baclofen,gamma-aminobutyric acid (GABA)-ergic agonist,neurology/psychiatry,multiple sclerosis|spasms,GABA receptor agonist,KPYSYYIEGFHWSV-UHFFFAOYSA-N
CCMSLIB00012722460,related spectra of 'memantine (delta mass:18.01)',CCMSLIB00000568321|CCMSLIB00005735445|CCMSLIB00010145981,100,Drug_analog,memantine,N-methyl-D-aspartate (NMDA) receptor antagonist,neurology/psychiatry,Alzheimer's disease|senile dementia,glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
CCMSLIB00012722461,related spectra of 'oxandrolone (delta mass:-88.05)',CCMSLIB00005723842,101,Drug_analog,oxandrolone,androstan derivatives,endocrinology,weight gain,androgen receptor agonist,CCCXHTHETXUUDU-REBFHUNPSA-N
CCMSLIB00012722462,related spectra of 'rimantadine (delta mass:18.99)',CCMSLIB00000563621|CCMSLIB00000566347|CCMSLIB00005732527|CCMSLIB00010131280|CCMSLIB00010131281|CCMSLIB00010131284,102,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N|UBCHPRBFMUDMNC-ULCLOTFOSA-N
CCMSLIB00012722463,related spectra of 'uridine triacetate (delta mass:-43.01)',CCMSLIB00006124693|CCMSLIB00006124694|CCMSLIB00006124706,103,Drug_analog,uridine triacetate,various alimentary tract and metabolism products,genetics|critical care,orotic aciduria|fluorouracil overdose|capecitabine overdose,pyrimidine analog,DRTQHJPVMGBUCF-XVFCMESISA-N
CCMSLIB00012722464,related spectra of 'gabapentin (delta mass:28.03)',CCMSLIB00000209572|CCMSLIB00000209574|CCMSLIB00000209576|CCMSLIB00000209578|CCMSLIB00000209584|CCMSLIB00000209586|CCMSLIB00000209588|CCMSLIB00000209590|CCMSLIB00005755116|CCMSLIB00005755138|CCMSLIB00010132425|CCMSLIB00010132426|CCMSLIB00010132428|CCMSLIB00010132429|CCMSLIB00010137481|CCMSLIB00010137482,104,Drug_analog|Low_confidence,gabapentin,antiepileptic drug (AED),neurology/psychiatry,neuropathic pain|shingles|seizures|restless leg syndrome,calcium channel blocker,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CCMSLIB00012722465,related spectra of 'dobesilic acid (delta mass:12.04)',CCMSLIB00005759977,105,Drug_analog,dobesilic acid,other systemic hemostatics,hematology,hemorrhage,hemostatic agent,IKQCSJBQLWJEPU-UHFFFAOYSA-N
CCMSLIB00012722466,related spectra of 'antipyrine (delta mass:12.0)',CCMSLIB00005754770,106,Drug_analog,antipyrine,other analgesics and antipyretics,neurology/psychiatry,pain relief,cyclooxygenase inhibitor,VEQOALNAAJBPNY-UHFFFAOYSA-N
CCMSLIB00012722467,related spectra of 'atipamezole (delta mass:-12.0)',CCMSLIB00010151046|CCMSLIB00010151047|CCMSLIB00010151049,107,Drug_analog,atipamezole,veterinary,neurology/psychiatry,reverse sedative,adrenergic receptor antagonist,HSWPZIDYAHLZDD-UHFFFAOYSA-N
CCMSLIB00012722468,related spectra of 'methoxsalen (delta mass:-13.98)',CCMSLIB00010117636|CCMSLIB00010117637,108,Drug_analog,methoxsalen,photoactivated radical generator|psoralen,dermatology,psoriasis,DNA synthesis inhibitor,QXKHYNVANLEOEG-UHFFFAOYSA-N
CCMSLIB00012722469,related spectra of 'antipyrine (delta mass:13.98)',CCMSLIB00005773370,109,Drug_analog,antipyrine,other analgesics and antipyretics,neurology/psychiatry,pain relief,cyclooxygenase inhibitor,VEQOALNAAJBPNY-UHFFFAOYSA-N
CCMSLIB00012722470,related spectra of 'nomifensine (delta mass:-36.02)',CCMSLIB00005763582|CCMSLIB00005765830|CCMSLIB00005766022|CCMSLIB00005767139,110,Drug_analog,nomifensine,other antidepressants,NA,NA,dopamine reuptake inhibitor|noradrenaline uptake inhibitor,XXPANQJNYNUNES-UHFFFAOYSA-N
CCMSLIB00012722471,related spectra of 'ethylestrenol (delta mass:-68.06)',CCMSLIB00005723752,111,Drug_analog,ethylestrenol,no_match,no_match,no_match,no_match,GUBNWXDDDXQJOQ-VIVHBNLFSA-N
CCMSLIB00012722472,related spectra of 'ethylestrenol (delta mass:-68.06)',CCMSLIB00005723752,112,Drug_analog,ethylestrenol,no_match,no_match,no_match,no_match,GUBNWXDDDXQJOQ-VIVHBNLFSA-N
CCMSLIB00012722473,related spectra of 'ethylestrenol (delta mass:-68.06)',CCMSLIB00005723752,113,Drug_analog,ethylestrenol,no_match,no_match,no_match,no_match,GUBNWXDDDXQJOQ-VIVHBNLFSA-N
CCMSLIB00012722474,related spectra of 'parthenolide (delta mass:-27.05)',CCMSLIB00000855424,114,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-SLXBATTESA-N
CCMSLIB00012722475,related spectra of '2-acetamido-2-deoxy-d-mannopyranose (delta mass:0.98)',CCMSLIB00010131505,115,Drug_analog,2-acetamido-2-deoxy-d-mannopyranose,no_match,NA,NA,NA,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
CCMSLIB00012722476,related spectra of '2-acetamido-2-deoxy-d-mannopyranose (delta mass:0.98)',CCMSLIB00010131504,116,Drug_analog,2-acetamido-2-deoxy-d-mannopyranose,no_match,NA,NA,NA,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
CCMSLIB00012722477,related spectra of '2-acetamido-2-deoxy-d-mannopyranose (delta mass:0.98)',CCMSLIB00010131504,117,Drug_analog,2-acetamido-2-deoxy-d-mannopyranose,no_match,NA,NA,NA,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
CCMSLIB00012722478,related spectra of 'tolimidone (delta mass:1.99)',CCMSLIB00010147324,118,Drug_analog,tolimidone,no_match,NA,NA,SRC activator,HJQILFPVRNHTIG-UHFFFAOYSA-N
CCMSLIB00012722479,related spectra of 'antipyrine (delta mass:15.98)',CCMSLIB00005753800|CCMSLIB00005754305|CCMSLIB00005754332,119,Drug_analog,antipyrine,other analgesics and antipyretics,neurology/psychiatry,pain relief,cyclooxygenase inhibitor,VEQOALNAAJBPNY-UHFFFAOYSA-N
CCMSLIB00012722480,related spectra of 'ipriflavone (delta mass:-17.99)',CCMSLIB00004718106|CCMSLIB00005745607|CCMSLIB00005765302,120,Drug_analog,ipriflavone,other drugs affecting bone structure and mineralization,endocrinology,osteoporosis,bone resorption inhibitor,VHBFFQKBGNRLFZ-UHFFFAOYSA-N
CCMSLIB00012722481,related spectra of '2-acetamido-2-deoxy-d-mannopyranose (delta mass:1.0)',CCMSLIB00010131505,121,Drug_analog,2-acetamido-2-deoxy-d-mannopyranose,no_match,NA,NA,NA,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
CCMSLIB00012722482,related spectra of 'tolimidone (delta mass:2.0)',CCMSLIB00010147324,122,Drug_analog,tolimidone,no_match,NA,NA,SRC activator,HJQILFPVRNHTIG-UHFFFAOYSA-N
CCMSLIB00012722483,related spectra of '2-acetamido-2-deoxy-d-mannopyranose (delta mass:1.0)',CCMSLIB00010131504,123,Drug_analog,2-acetamido-2-deoxy-d-mannopyranose,no_match,NA,NA,NA,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
CCMSLIB00012722484,related spectra of '1-methyl-l-tryptophan (delta mass:-14.02)',CCMSLIB00010134131,124,Drug_analog,1-methyl-l-tryptophan,no_match,NA,NA,"indoleamine 2,3-dioxygenase inhibitor",ZADWXFSZEAPBJS-JTQLQIEISA-N
CCMSLIB00012722485,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010120238|CCMSLIB00010120978,125,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722486,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010120978,126,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722487,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010108898|CCMSLIB00010120238|CCMSLIB00010120978,127,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722488,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010120238|CCMSLIB00010120978,128,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722489,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010120238|CCMSLIB00010120978,129,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722490,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010120238|CCMSLIB00010120978,130,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722491,related spectra of 'parthenolide (delta mass:-26.02)',CCMSLIB00010120238|CCMSLIB00010120978,131,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722492,related spectra of 'parthenolide (delta mass:-44.03)',CCMSLIB00004692440,132,Drug_analog|Low_confidence,parthenolide,no_match,NA,NA,NFkB pathway inhibitor,KTEXNACQROZXEV-PVLRGYAZSA-N
CCMSLIB00012722493,related spectra of '2-acetamido-2-deoxy-d-mannopyranose (delta mass:2.02)',CCMSLIB00010131506,133,Drug_analog,2-acetamido-2-deoxy-d-mannopyranose,no_match,NA,NA,NA,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
CCMSLIB00012722494,related spectra of 'pindolol (delta mass:-42.05)',CCMSLIB00005774021,134,Drug_analog,pindolol,beta-adrenergic receptor inhibitor,cardiology,hypertension,adrenergic receptor antagonist,JZQKKSLKJUAGIC-UHFFFAOYSA-N
CCMSLIB00012722495,related spectra of 'pindolol (delta mass:-42.05)',CCMSLIB00005774021,135,Drug_analog,pindolol,beta-adrenergic receptor inhibitor,cardiology,hypertension,adrenergic receptor antagonist,JZQKKSLKJUAGIC-UHFFFAOYSA-N
CCMSLIB00012722496,related spectra of 'artemisinin (delta mass:-76.03)',CCMSLIB00005769004,136,Drug_analog,artemisinin,antimalarial,infectious disease,malaria,DNA synthesis inhibitor,BLUAFEHZUWYNDE-NNWCWBAJSA-N
CCMSLIB00012722497,"related spectra of 'ethinyl estradiol (delta mass:-90.05)', 'ethinylestradiol (delta mass:-90.05)'",CCMSLIB00000566716|CCMSLIB00005731088,137,Drug_analog|Low_confidence,ethinylestradiol|ethinyl estradiol,estrogen,obstetrics/gynecology,contraceptive,estrogen receptor agonist|estrogenic hormone,BFPYWIDHMRZLRN-UHFFFAOYSA-N
CCMSLIB00012722498,related spectra of 'exemestane (delta mass:-90.05)',CCMSLIB00000208699,138,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722499,related spectra of 'exemestane (delta mass:-90.05)',CCMSLIB00000208693,139,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722500,related spectra of 'ethinylestradiol (delta mass:-90.05)',CCMSLIB00000004895,140,Drug_analog|Low_confidence,ethinylestradiol,estrogen,obstetrics/gynecology,contraceptive,estrogen receptor agonist|estrogenic hormone,BFPYWIDHMRZLRN-SLHNCBLASA-N
CCMSLIB00012722501,related spectra of 'exemestane (delta mass:-90.05)',CCMSLIB00000208693,141,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722502,related spectra of 'ethinylestradiol (delta mass:-90.05)',CCMSLIB00000004895,142,Drug_analog|Low_confidence,ethinylestradiol,estrogen,obstetrics/gynecology,contraceptive,estrogen receptor agonist|estrogenic hormone,BFPYWIDHMRZLRN-SLHNCBLASA-N
CCMSLIB00012722503,related spectra of 'exemestane (delta mass:-90.05)',CCMSLIB00000208693,143,Drug_analog,exemestane,aromatase inhibitor,oncology,breast cancer,aromatase inhibitor,BFYIZQONLCFLEV-UHFFFAOYSA-N
CCMSLIB00012722504,related spectra of 'rimantadine (delta mass:27.99)',CCMSLIB00000563621|CCMSLIB00000566347|CCMSLIB00000566351|CCMSLIB00000574056|CCMSLIB00005731441|CCMSLIB00005732527,144,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N
CCMSLIB00012722505,related spectra of 'cantharidin (delta mass:12.0)',CCMSLIB00010125871,145,Drug_analog,cantharidin,no_match,dermatology,blisters|molluscum contagiosum,protein phosphatase inhibitor,DHZBEENLJMYSHQ-UHFFFAOYSA-N
CCMSLIB00012722506,related spectra of 'lobeline (delta mass:-129.08)',CCMSLIB00004716721|CCMSLIB00006565753,146,Drug_analog|Low_confidence,lobeline,no_match,neurology/psychiatry,smoking cessation,acetylcholine receptor antagonist,MXYUKLILVYORSK-HBMCJLEFSA-N
CCMSLIB00012722507,related spectra of 'methylenedioxyethamphetamine (delta mass:1.94)',CCMSLIB00000568563|CCMSLIB00005731477,147,Drug_analog,methylenedioxyethamphetamine,central nervous system stimulant,drug of abuse,psychostimulant,monoamine releasing agent,PVXVWWANJIWJOO-UHFFFAOYSA-N
CCMSLIB00012722508,related spectra of 'mirogabalin (delta mass:0.98)',CCMSLIB00010148395|CCMSLIB00010148396|CCMSLIB00010148398|CCMSLIB00010149216|CCMSLIB00010149217|CCMSLIB00010149219,148,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722509,related spectra of 'mirogabalin (delta mass:0.98)',CCMSLIB00010148395|CCMSLIB00010148396|CCMSLIB00010148398|CCMSLIB00010149216|CCMSLIB00010149217|CCMSLIB00010149219,149,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722510,related spectra of 'mirogabalin (delta mass:0.98)',CCMSLIB00010148396|CCMSLIB00010148398|CCMSLIB00010149217|CCMSLIB00010149219,150,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722511,related spectra of 'mirogabalin (delta mass:0.98)',CCMSLIB00010149219,151,Drug_analog,mirogabalin,gabapentinoids,neurology/psychiatry,diabetic peripheral neuropathy|postherpetic neuralgia,calcium channel antagonist,FTBQORVNHOIASH-CKYFFXLPSA-N
CCMSLIB00012722512,"related spectra of 'n,o-didesmethylvenlafaxine (delta mass:-39.01)'",CCMSLIB00000578724,152,Drug_analog,"n,o-didesmethylvenlafaxine",serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder,serotonin and norepinephrine reuptake inhibitor,MMSWXJSQCAEDLK-UHFFFAOYSA-N
CCMSLIB00012722513,related spectra of 'rimantadine (delta mass:31.99)',CCMSLIB00000563621|CCMSLIB00000566347|CCMSLIB00005732527,153,Drug_analog|Low_confidence,rimantadine,influenza A M2 protein inhibitor,infectious disease,influenza A virus infection,antiviral|RNA synthesis inhibitor,UBCHPRBFMUDMNC-UHFFFAOYSA-N
CCMSLIB00012722514,"related spectra of 'ketorolac (delta mass:-42.01)', '(s)-ketorolac (delta mass:-42.01)'",CCMSLIB00010141179|CCMSLIB00010143678,154,Drug_analog,ketorolac|ketorolac,nonsteroidal anti-inflammatory drug,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|dysmenorrhea|muscle pain,cyclooxygenase inhibitor,OZWKMVRBQXNZKK-UHFFFAOYSA-N|OZWKMVRBQXNZKK-NSHDSACASA-N
CCMSLIB00012722515,related spectra of 'dethiobiotin (delta mass:-0.98)',CCMSLIB00010139695|CCMSLIB00010139696,155,Drug_analog|Low_confidence,dethiobiotin,no_match,no_match,no_match,no_match,AUTOLBMXDDTRRT-JGVFFNPUSA-N
